target_width_px,path,samples,detection_rate,mean_confidence,mean_processing_ms
4,full_frame_resize,5,0.0,0.0,510.9972400008701
4,centre_crop,5,0.0,0.0,105.02519999572542
4,native_tiles,5,0.0,0.0,323.58508000324946
8,full_frame_resize,5,0.0,0.0,162.49169999500737
8,centre_crop,5,0.0,0.0,142.10643999686
8,native_tiles,5,0.0,0.0,470.3877799998736
12,full_frame_resize,5,0.0,0.0,159.37716000480577
12,centre_crop,5,0.0,0.0,146.6554000013275
12,native_tiles,5,0.0,0.0,454.6794799971394
16,full_frame_resize,5,0.0,0.0,135.87784000264946
16,centre_crop,5,0.2,0.0005212542135268449,132.5676999957068
16,native_tiles,5,0.2,0.0014434546232223512,433.38809999695513
20,full_frame_resize,5,0.0,0.0,111.0117399977753
20,centre_crop,5,0.2,0.03024912774562836,104.78776000090875
20,native_tiles,5,0.2,0.00656806230545044,333.4426600020379
24,full_frame_resize,5,0.0,0.0,125.81722000031732
24,centre_crop,5,0.6,0.007576069375500083,124.0737000014633
24,native_tiles,5,0.6,0.014659502543509007,373.1692999979714
28,full_frame_resize,5,0.0,0.0,112.3258400009945
28,centre_crop,5,0.4,0.008128675306215883,107.40286000072956
28,native_tiles,5,0.6,0.049665263341739777,326.32231999887154
32,full_frame_resize,5,0.0,0.0,120.74437999690417
32,centre_crop,5,0.4,0.0070138460025191305,128.04377999855205
32,native_tiles,5,0.8,0.018248327495530247,361.6152800008422
36,full_frame_resize,5,0.0,0.0,116.47634000109974
36,centre_crop,5,0.2,0.0011440206319093705,122.62810000393074
36,native_tiles,5,0.6,0.007451257202774286,359.6339200012153
40,full_frame_resize,5,0.0,0.0,123.82567999593448
40,centre_crop,5,0.4,0.002418457134626806,113.03871999843977
40,native_tiles,5,0.4,0.045699293166399,333.77632000192534
44,full_frame_resize,5,0.0,0.0,125.65326000039931
44,centre_crop,5,0.4,0.005121922213584184,120.83572000265121
44,native_tiles,5,0.6,0.030412649922072887,379.7655400005169
48,full_frame_resize,5,0.0,0.0,132.73021999921184
48,centre_crop,5,0.6,0.00401784481946379,107.9435200052103
48,native_tiles,5,0.6,0.011072919052094222,321.8870799988508
52,full_frame_resize,5,0.2,0.00021420398261398076,140.21718000003602
52,centre_crop,5,0.6,0.003544547688215971,142.35855999868363
52,native_tiles,5,0.6,0.09636842897161842,430.93561999558005
56,full_frame_resize,5,0.0,0.0,143.07054000382777
56,centre_crop,5,0.6,0.02220217473804951,131.90519999770913
56,native_tiles,5,0.6,0.01678064316511154,453.15016000240576
60,full_frame_resize,5,0.4,0.0016454043798148632,125.40244000265375
60,centre_crop,5,0.6,0.00401135953143239,116.12048000097275
60,native_tiles,5,0.6,0.04088534582406282,317.0291999937035
64,full_frame_resize,5,0.2,0.0007139637134969234,124.59713999705855
64,centre_crop,5,0.8,0.07376658916473389,123.82050000305753
64,native_tiles,5,0.8,0.09308361932635308,365.6923200003803
