epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1159.27,1.23955,1.00587,1.11021,0.99063,0.49354,0.49366,0.32139,1.22627,0.86587,0.95384,0.000332738,0.000332738,0.0670589
2,3399.42,1.1734,0.7645,1.09366,0.98388,0.49426,0.49533,0.3901,0.78855,2.26864,0.84454,0.000659477,0.000659477,0.0340523
3,5374.06,1.11774,0.70217,1.06463,0.65696,0.54976,0.54241,0.43098,0.70349,1.28021,0.81676,0.000979617,0.000979617,0.00103914
4,16911.9,1.09134,0.67193,1.05404,0.60092,0.60168,0.59704,0.42411,0.77354,1.29528,0.83116,0.0009703,0.0009703,0.0009703
5,18089,1.06116,0.66332,1.04294,0.91242,0.60168,0.61174,0.46846,0.54793,0.8344,0.78095,0.0009604,0.0009604,0.0009604
6,18624.1,1.05992,0.64884,1.04004,0.74172,0.62457,0.62386,0.46394,0.61181,0.95907,0.79438,0.0009505,0.0009505,0.0009505
7,19157.4,1.05332,0.64004,1.04349,0.81099,0.62871,0.6316,0.46585,0.67323,0.81287,0.79641,0.0009406,0.0009406,0.0009406
8,19698.3,1.02918,0.62093,1.02789,0.88611,0.60168,0.61762,0.47934,0.61073,0.92213,0.79513,0.0009307,0.0009307,0.0009307
9,20235.6,1.02655,0.60152,1.01936,0.75933,0.68134,0.64873,0.50294,0.57981,0.68678,0.78453,0.0009208,0.0009208,0.0009208
10,20789.7,1.01955,0.59614,1.02121,0.66162,0.60239,0.61351,0.49156,0.56229,0.78094,0.77618,0.0009109,0.0009109,0.0009109
11,21328,1.02558,0.61137,1.02996,0.80971,0.59809,0.62263,0.50407,0.48481,0.77163,0.76695,0.000901,0.000901,0.000901
12,21879.3,1.00293,0.59114,1.02099,0.80492,0.60239,0.6417,0.48908,0.52931,0.71308,0.77773,0.0008911,0.0008911,0.0008911
