rcs_m2,range_m,snr_db,p_detect_legacy,p_detect_physics,delta
0.01,50.0,56.12,0.3935,0.99,0.5965
0.01,98.3,44.38,0.3935,0.99,0.5965
0.01,146.7,37.43,0.3935,0.99,0.5965
0.01,195.0,32.48,0.3935,0.99,0.5965
0.01,243.3,28.63,0.3889,0.99,0.6011
0.01,291.7,25.49,0.3765,0.99,0.6135
0.01,340.0,22.82,0.3642,0.99,0.6258
0.01,388.3,20.51,0.3518,0.9873,0.6355
0.01,436.7,18.48,0.3395,0.9771,0.6376
0.01,485.0,16.65,0.3271,0.9652,0.6381
0.01,533.3,15.0,0.3148,0.9512,0.6364
0.01,581.7,13.5,0.3024,0.934,0.6316
0.01,630.0,12.11,0.29,0.9124,0.6224
0.01,678.3,10.83,0.2777,0.8854,0.6077
0.01,726.7,9.63,0.2653,0.8524,0.5871
0.01,775.0,8.51,0.2552,0.8146,0.5594
0.01,823.3,7.46,0.2471,0.7733,0.5261
0.01,871.7,6.47,0.2391,0.7294,0.4904
0.01,920.0,5.53,0.231,0.6834,0.4524
0.01,968.3,4.64,0.2229,0.6353,0.4124
0.01,1016.7,3.8,0.2149,0.5853,0.3704
0.01,1065.0,2.99,0.2068,0.5337,0.3269
0.01,1113.3,2.22,0.1987,0.481,0.2823
0.01,1161.7,1.48,0.1907,0.4282,0.2376
0.01,1210.0,0.77,0.1826,0.3766,0.194
0.01,1258.3,0.09,0.1745,0.3273,0.1528
0.01,1306.7,-0.56,0.1664,0.2813,0.1149
0.01,1355.0,-1.19,0.1584,0.2392,0.0808
0.01,1403.3,-1.8,0.1503,0.2011,0.0508
0.01,1451.7,-2.39,0.1422,0.167,0.0248
0.01,1500.0,-2.96,0.1342,0.1368,0.0027
0.05,50.0,63.11,0.88,0.99,0.11
0.05,98.3,51.36,0.88,0.99,0.11
0.05,146.7,44.42,0.88,0.99,0.11
0.05,195.0,39.47,0.88,0.99,0.11
0.05,243.3,35.62,0.8695,0.99,0.1205
0.05,291.7,32.48,0.8419,0.99,0.1481
0.05,340.0,29.81,0.8143,0.99,0.1757
0.05,388.3,27.5,0.7867,0.99,0.2033
0.05,436.7,25.47,0.759,0.99,0.231
0.05,485.0,23.64,0.7314,0.99,0.2586
0.05,533.3,21.99,0.7038,0.99,0.2862
0.05,581.7,20.49,0.6762,0.9872,0.311
0.05,630.0,19.1,0.6486,0.9805,0.3319
0.05,678.3,17.82,0.621,0.9731,0.3522
0.05,726.7,16.62,0.5933,0.965,0.3716
0.05,775.0,15.5,0.5707,0.9558,0.3852
0.05,823.3,14.45,0.5526,0.9454,0.3928
0.05,871.7,13.46,0.5346,0.9335,0.3989
0.05,920.0,12.52,0.5165,0.9195,0.403
0.05,968.3,11.63,0.4985,0.9033,0.4048
0.05,1016.7,10.79,0.4804,0.8844,0.4039
0.05,1065.0,9.98,0.4624,0.8629,0.4005
0.05,1113.3,9.21,0.4444,0.8389,0.3946
0.05,1161.7,8.47,0.4263,0.8131,0.3868
0.05,1210.0,7.76,0.4083,0.7857,0.3774
0.05,1258.3,7.08,0.3902,0.7571,0.3669
0.05,1306.7,6.43,0.3722,0.7274,0.3552
0.05,1355.0,5.8,0.3541,0.6968,0.3427
0.05,1403.3,5.19,0.3361,0.6653,0.3292
0.05,1451.7,4.6,0.318,0.6328,0.3148
0.05,1500.0,4.03,0.3,0.5995,0.2995
0.5,50.0,73.11,0.96,0.99,0.03
0.5,98.3,61.36,0.96,0.99,0.03
0.5,146.7,54.42,0.96,0.99,0.03
0.5,195.0,49.47,0.96,0.99,0.03
0.5,243.3,45.62,0.96,0.99,0.03
0.5,291.7,42.48,0.96,0.99,0.03
0.5,340.0,39.81,0.96,0.99,0.03
0.5,388.3,37.5,0.96,0.99,0.03
0.5,436.7,35.47,0.96,0.99,0.03
0.5,485.0,33.64,0.96,0.99,0.03
0.5,533.3,31.99,0.96,0.99,0.03
0.5,581.7,30.49,0.96,0.99,0.03
0.5,630.0,29.1,0.96,0.99,0.03
0.5,678.3,27.82,0.96,0.99,0.03
0.5,726.7,26.62,0.96,0.99,0.03
0.5,775.0,25.5,0.96,0.99,0.03
0.5,823.3,24.45,0.96,0.99,0.03
0.5,871.7,23.46,0.96,0.99,0.03
0.5,920.0,22.52,0.96,0.99,0.03
0.5,968.3,21.63,0.96,0.99,0.03
0.5,1016.7,20.79,0.96,0.9885,0.0285
0.5,1065.0,19.98,0.96,0.9848,0.0248
0.5,1113.3,19.21,0.96,0.981,0.021
0.5,1161.7,18.47,0.96,0.977,0.017
0.5,1210.0,17.76,0.96,0.9728,0.0128
0.5,1258.3,17.08,0.96,0.9683,0.0083
0.5,1306.7,16.43,0.96,0.9635,0.0035
0.5,1355.0,15.8,0.96,0.9584,-0.0016
0.5,1403.3,15.19,0.96,0.9529,-0.0071
0.5,1451.7,14.6,0.96,0.947,-0.013
0.5,1500.0,14.03,0.9487,0.9407,-0.008
